season,episode_num,title,imdb_rating,total_votes,us_viewers,original_air_date,directed_by,written_by
4,16,Wilson's Heart,9.8,8768,16160000,19-May-08,Katie Jacobs,"Peter Blake, David Foster, Russel Friend & Garrett Lerner"
4,15,House's Head,9.8,9318,14840000,12-May-08,Greg Yaitanes,Story by: Doris EganTeleplay by: Peter Blake & David Foster & Russel Friend & Garrett Lerner
5,1,Broken,9.7,8376,14770000,21 Sep. 2009,Deran Sarafian,Eli Attie
6,21,Help Me,9.6,4522,9290000,17-May-10,David Straiton,Doris Egan & David Foster
1,21,Three Stories,9.6,7221,17680000,17-May-05,Paris Barclay,David Shore
5,24,Both Sides Now,9.6,4968,12740000,11-May-09,Greg Yaitanes,Doris Egan
2,24,No Reason,9.5,4835,25470000,23-May-06,David Shore,Story by: Lawrence Kaplow & David ShoreTeleplay by: David Shore
8,22,Everybody Dies,9.3,5471,8720000,21-May-12,David Shore,David Shore & Peter Blake & Eli Attie
2,21,Euphoria: Part 2,9.3,3642,17160000,3-May-06,Deran Sarafian,Russel Friend & Garrett Lerner & David Shore
4,11,Frozen,9.2,3296,29040000,3 Feb. 2008,David Straiton,Liz Friedman
